E. Gordon,C. Paul,C. Capela,P. Tucker,J. Harden,9,325
D. House,A. Rivers,C. Capela,P. Tucker,J. Harden,5,82
D. House,A. Rivers,C. Capela,P. Tucker,J. Harden,2,49
D. House,A. Rivers,K. Faried,G. Green,J. Harden,3,136
D. House,A. Rivers,K. Faried,G. Green,C. Paul,6,128
G. Green,D. House,A. Rivers,K. Faried,C. Paul,2,108
E. Gordon,P. Tucker,A. Rivers,K. Faried,C. Paul,0,84
E. Gordon,P. Tucker,J. Harden,K. Faried,C. Paul,2,40
E. Gordon,P. Tucker,J. Harden,C. Capela,D. House,14,237
C. Paul,P. Tucker,J. Harden,C. Capela,D. House,6,127
C. Paul,P. Tucker,J. Harden,C. Capela,E. Gordon,1,9
C. Paul,P. Tucker,J. Harden,C. Capela,E. Gordon,3,115
C. Paul,C. Capela,E. Gordon,J. Harden,P. Tucker,6,215
C. Paul,C. Capela,E. Gordon,J. Harden,P. Tucker,9,132
D. House,C. Capela,E. Gordon,J. Harden,P. Tucker,6,105
D. House,C. Capela,E. Gordon,J. Harden,P. Tucker,4,55
D. House,K. Faried,A. Rivers,J. Harden,P. Tucker,3,78
D. House,K. Faried,A. Rivers,J. Harden,P. Tucker,0,26
D. House,K. Faried,A. Rivers,C. Paul,P. Tucker,3,109
A. Rivers,C. Paul,K. Faried,E. Gordon,D. House,9,171
A. Rivers,C. Paul,K. Faried,E. Gordon,D. House,5,64
A. Rivers,C. Paul,K. Faried,E. Gordon,D. House,3,66
J. Harden,C. Paul,K. Faried,E. Gordon,D. House,3,25
J. Harden,P. Tucker,K. Faried,E. Gordon,D. House,0,54
J. Harden,P. Tucker,C. Capela,E. Gordon,D. House,9,178
J. Harden,A. Rivers,C. Capela,E. Gordon,D. House,1,14
J. Harden,A. Rivers,K. Faried,E. Gordon,D. House,1,6
G. Green,A. Rivers,K. Faried,E. Gordon,D. House,3,29
G. Green,A. Rivers,K. Faried,G. Clark,D. House,3,68
G. Green,A. Rivers,K. Faried,G. Clark,D. House,0,45
