L. Shamet,I. Zubac,P. Beverley,D. Gallinari,S. Gilgeous-Alexander,13
L. Shamet,I. Zubac,P. Beverley,D. Gallinari,S. Gilgeous-Alexander,3
M. Harrell,L. Williams,P. Beverley,D. Gallinari,S. Gilgeous-Alexander,2
M. Harrell,L. Williams,J. Green,G. Temple,S. Gilgeous-Alexander,1
M. Harrell,L. Williams,J. Green,G. Temple,W. Chandler,4
M. Harrell,L. Williams,J. Green,G. Temple,W. Chandler,1
M. Harrell,S. Thornwell,J. Green,G. Temple,W. Chandler,0
W. Chandler,J. Green,M. Harrell,G. Temple,L. Williams,9
L. Shamet,J. Green,M. Harrell,G. Temple,L. Williams,4
L. Shamet,J. Green,M. Harrell,G. Temple,L. Williams,4
L. Shamet,P. Beverley,D. Gallinari,S. Gilgeous-Alexander,I. Zubac,2
L. Shamet,P. Beverley,D. Gallinari,S. Gilgeous-Alexander,I. Zubac,0
L. Shamet,P. Beverley,D. Gallinari,S. Gilgeous-Alexander,I. Zubac,4
M. Harrell,P. Beverley,D. Gallinari,S. Gilgeous-Alexander,L. Williams,0
I. Zubac,D. Gallinari,S. Gilgeous-Alexander,L. Shamet,P. Beverley,29
M. Harrell,D. Gallinari,S. Gilgeous-Alexander,L. Shamet,P. Beverley,0
M. Harrell,J. Green,L. Williams,L. Shamet,P. Beverley,3
M. Harrell,J. Green,L. Williams,W. Chandler,P. Beverley,5
M. Harrell,J. Green,L. Williams,W. Chandler,G. Temple,5
M. Harrell,J. Green,S. Thornwell,W. Chandler,G. Temple,0
W. Chandler,J. Green,G. Temple,L. Williams,M. Harrell,5
L. Shamet,J. Green,G. Temple,L. Williams,M. Harrell,2
L. Shamet,D. Gallinari,G. Temple,L. Williams,M. Harrell,3
L. Shamet,D. Gallinari,P. Beverley,L. Williams,M. Harrell,0
L. Shamet,D. Gallinari,P. Beverley,S. Gilgeous-Alexander,M. Harrell,7
L. Shamet,D. Gallinari,P. Beverley,S. Gilgeous-Alexander,M. Harrell,0
L. Williams,D. Gallinari,P. Beverley,S. Gilgeous-Alexander,M. Harrell,6
S. Thornwell,D. Gallinari,P. Beverley,S. Gilgeous-Alexander,M. Harrell,0
L. Williams,D. Gallinari,P. Beverley,S. Gilgeous-Alexander,M. Harrell,2
S. Thornwell,D. Gallinari,P. Beverley,S. Gilgeous-Alexander,M. Harrell,1
