J. Green,T. Satoranský,T. Ariza,B. Portis,B. Beal,14,386
J. Parker,T. Satoranský,T. Ariza,B. Portis,B. Beal,5,39
J. Parker,C. Randle,T. Ariza,B. Portis,B. Beal,0,36
J. Parker,C. Randle,T. Ariza,B. Portis,B. Beal,3,66
J. Parker,C. Randle,T. Brown,B. Portis,B. Beal,2,27
J. Parker,C. Randle,T. Brown,T. Bryant,B. Beal,4,166
T. Bryant,C. Randle,T. Brown,T. Satoranský,J. Parker,8,212
J. Green,B. Portis,T. Brown,T. Satoranský,J. Parker,6,137
J. Green,B. Portis,T. Ariza,B. Beal,J. Parker,15,329
J. Green,B. Portis,T. Brown,B. Beal,T. Satoranský,2,39
C. Randle,B. Portis,T. Brown,B. Beal,T. Satoranský,1,3
J. Green,T. Brown,B. Portis,T. Satoranský,B. Beal,11,462
J. Parker,T. Brown,B. Portis,T. Satoranský,B. Beal,2,108
J. Parker,W. Johnson,B. Portis,T. Satoranský,B. Beal,5,120
J. Parker,W. Johnson,T. Bryant,C. Randle,B. Beal,3,30
B. Beal,W. Johnson,C. Randle,T. Bryant,J. Parker,7,188
T. Satoranský,W. Johnson,C. Randle,T. Bryant,J. Parker,8,202
T. Satoranský,B. Beal,T. Brown,T. Bryant,J. Parker,2,114
T. Satoranský,B. Beal,T. Brown,B. Portis,J. Parker,5,30
T. Satoranský,B. Beal,T. Brown,B. Portis,J. Parker,8,173
T. Satoranský,B. Beal,T. Brown,B. Portis,J. Parker,9,13
