W. Ellington,R. Jackson,B. Brown,A. Drummond,B. Griffin,16,415
L. Kennard,I. Smith,B. Brown,A. Drummond,B. Griffin,0,57
L. Kennard,I. Smith,L. Galloway,A. Drummond,B. Griffin,10,199
L. Kennard,I. Smith,L. Galloway,T. Maker,B. Griffin,2,49
T. Maker,Z. Pachulia,I. Smith,L. Galloway,L. Kennard,9,359
A. Drummond,B. Griffin,I. Smith,L. Galloway,L. Kennard,8,72
A. Drummond,B. Griffin,R. Jackson,L. Galloway,L. Kennard,9,242
B. Brown,B. Griffin,R. Jackson,T. Maker,L. Kennard,2,41
L. Galloway,B. Griffin,R. Jackson,T. Maker,L. Kennard,0,6
B. Brown,W. Ellington,B. Griffin,R. Jackson,A. Drummond,19,371
B. Brown,W. Ellington,B. Griffin,R. Jackson,A. Drummond,5,104
B. Brown,W. Ellington,B. Griffin,R. Jackson,A. Drummond,5,110
L. Galloway,L. Kennard,T. Maker,R. Jackson,A. Drummond,4,100
L. Galloway,L. Kennard,T. Maker,R. Jackson,A. Drummond,3,35
A. Drummond,T. Maker,L. Kennard,I. Smith,L. Galloway,7,217
A. Drummond,T. Maker,L. Kennard,I. Smith,L. Galloway,2,54
B. Griffin,T. Maker,L. Kennard,I. Smith,L. Galloway,2,90
B. Griffin,T. Maker,L. Kennard,I. Smith,L. Galloway,0,13
B. Griffin,A. Drummond,L. Kennard,I. Smith,L. Galloway,5,78
B. Griffin,A. Drummond,W. Ellington,R. Jackson,L. Galloway,1,150
B. Griffin,A. Drummond,L. Kennard,R. Jackson,L. Galloway,3,118
