J. Layman,M. Harkless,J. Nurkić,A. Aminu,D. Lillard,19,415
R. Hood,M. Harkless,J. Nurkić,A. Aminu,D. Lillard,2,57
R. Hood,S. Curry,J. Nurkić,A. Aminu,D. Lillard,10,199
R. Hood,S. Curry,E. Freedom,A. Aminu,D. Lillard,1,49
Z. Collins,R. Hood,E. Freedom,E. Turner,S. Curry,17,359
A. Aminu,M. Harkless,J. Nurkić,E. Turner,S. Curry,2,72
A. Aminu,M. Harkless,J. Nurkić,D. Lillard,S. Curry,5,242
A. Aminu,M. Harkless,J. Nurkić,D. Lillard,S. Curry,2,41
A. Aminu,M. Harkless,J. Nurkić,E. Turner,S. Curry,1,6
J. Layman,M. Harkless,J. Nurkić,A. Aminu,D. Lillard,17,371
R. Hood,M. Harkless,J. Nurkić,A. Aminu,D. Lillard,4,104
R. Hood,S. Curry,J. Nurkić,A. Aminu,D. Lillard,3,110
R. Hood,S. Curry,E. Freedom,A. Aminu,D. Lillard,3,100
R. Hood,S. Curry,E. Freedom,Z. Collins,D. Lillard,3,35
R. Hood,Z. Collins,E. Turner,E. Freedom,S. Curry,7,217
D. Lillard,Z. Collins,E. Turner,E. Freedom,S. Curry,2,54
D. Lillard,A. Aminu,E. Turner,E. Freedom,S. Curry,3,90
D. Lillard,A. Aminu,M. Harkless,E. Freedom,S. Curry,2,13
D. Lillard,A. Aminu,M. Harkless,E. Freedom,S. Curry,0,78
D. Lillard,A. Aminu,M. Harkless,J. Nurkić,S. Curry,6,150
D. Lillard,A. Aminu,M. Harkless,J. Nurkić,S. Curry,8,118
