A. Baynes,G. Hayward,M. Smart,M. Morris,K. Irving,10
G. Yabusele,G. Hayward,M. Smart,M. Morris,K. Irving,7
G. Yabusele,J. Brown,M. Smart,M. Morris,K. Irving,1
A. Baynes,J. Brown,M. Smart,M. Morris,K. Irving,0
A. Baynes,J. Brown,T. Rozier,M. Morris,K. Irving,4
A. Baynes,J. Brown,T. Rozier,G. Hayward,K. Irving,2
A. Baynes,J. Brown,T. Rozier,G. Hayward,K. Irving,0
S. Ojeleye,G. Hayward,T. Rozier,D. Theis,J. Brown,5
S. Ojeleye,G. Hayward,T. Rozier,D. Theis,J. Brown,3
S. Ojeleye,G. Hayward,T. Rozier,D. Theis,J. Brown,0
M. Smart,G. Hayward,T. Rozier,D. Theis,J. Brown,4
M. Smart,M. Morris,T. Rozier,D. Theis,J. Brown,0
M. Smart,M. Morris,A. Baynes,K. Irving,J. Brown,4
M. Smart,M. Morris,A. Baynes,K. Irving,G. Hayward,2
M. Smart,M. Morris,D. Theis,K. Irving,G. Hayward,0
A. Baynes,G. Hayward,M. Smart,M. Morris,K. Irving,15
J. Brown,D. Theis,M. Smart,M. Morris,K. Irving,3
J. Brown,D. Theis,M. Smart,M. Morris,K. Irving,2
J. Brown,D. Theis,T. Rozier,M. Morris,K. Irving,0
J. Brown,D. Theis,T. Rozier,G. Hayward,K. Irving,2
J. Brown,D. Theis,T. Rozier,G. Hayward,K. Irving,0
D. Theis,J. Brown,G. Hayward,T. Rozier,M. Smart,11
A. Baynes,J. Brown,G. Hayward,T. Rozier,M. Smart,4
A. Baynes,J. Brown,G. Hayward,T. Rozier,M. Smart,0
A. Baynes,K. Irving,M. Morris,T. Rozier,M. Smart,2
A. Baynes,K. Irving,M. Morris,J. Brown,M. Smart,3
P. Dozier,S. Ojeleye,B. Wanamaker,G. Monroe,G. Yabusele,5
P. Dozier,S. Ojeleye,B. Wanamaker,G. Monroe,G. Yabusele,0
P. Dozier,S. Ojeleye,B. Wanamaker,G. Monroe,G. Yabusele,2
P. Dozier,S. Ojeleye,B. Wanamaker,G. Monroe,G. Yabusele,0
P. Dozier,S. Ojeleye,B. Wanamaker,G. Monroe,G. Yabusele,5
