E. Gordon,C. Paul,P. Tucker,C. Capela,J. Harden,4
D. House,C. Paul,P. Tucker,C. Capela,J. Harden,6
D. House,E. Gordon,P. Tucker,C. Capela,J. Harden,5
D. House,E. Gordon,I. Shumpert,C. Capela,J. Harden,0
D. House,E. Gordon,I. Shumpert,C. Capela,J. Harden,9
D. House,E. Gordon,A. Rivers,K. Faried,C. Paul,6
D. House,E. Gordon,A. Rivers,K. Faried,C. Paul,0
E. Gordon,C. Paul,K. Faried,A. Rivers,P. Tucker,13
I. Shumpert,C. Paul,K. Faried,A. Rivers,P. Tucker,0
I. Shumpert,J. Harden,K. Faried,A. Rivers,P. Tucker,5
I. Shumpert,J. Harden,K. Faried,A. Rivers,P. Tucker,5
I. Shumpert,J. Harden,C. Capela,A. Rivers,P. Tucker,4
I. Shumpert,J. Harden,C. Capela,D. House,P. Tucker,3
I. Shumpert,J. Harden,C. Capela,D. House,P. Tucker,0
C. Paul,P. Tucker,C. Capela,E. Gordon,J. Harden,13
D. House,P. Tucker,C. Capela,E. Gordon,J. Harden,3
D. House,I. Shumpert,C. Capela,E. Gordon,J. Harden,2
D. House,I. Shumpert,K. Faried,E. Gordon,J. Harden,0
D. House,I. Shumpert,K. Faried,C. Paul,J. Harden,9
D. House,I. Shumpert,K. Faried,C. Paul,A. Rivers,0
D. House,I. Shumpert,K. Faried,C. Paul,A. Rivers,0
I. Shumpert,C. Paul,A. Rivers,K. Faried,D. House,12
I. Shumpert,C. Paul,A. Rivers,K. Faried,D. House,2
G. Clark,C. Paul,A. Rivers,K. Faried,D. House,4
G. Clark,C. Chiozza,A. Rivers,K. Faried,D. House,8
