A. Gordon,E. Fournier,D. Augustin,J. Isaac,N. Vučević,13
A. Gordon,E. Fournier,D. Augustin,J. Isaac,N. Vučević,0
W. Iwundu,E. Fournier,D. Augustin,J. Isaac,N. Vučević,2
W. Iwundu,T. Ross,D. Augustin,J. Isaac,N. Vučević,8
W. Iwundu,T. Ross,M. Carter-Williams,J. Isaac,N. Vučević,2
W. Iwundu,T. Ross,M. Carter-Williams,K. Birch,A. Gordon,6
W. Iwundu,T. Ross,M. Carter-Williams,K. Birch,A. Gordon,0
E. Fournier,K. Birch,A. Gordon,M. Carter-Williams,T. Ross,13
E. Fournier,K. Birch,A. Gordon,M. Carter-Williams,T. Ross,0
W. Iwundu,K. Birch,A. Gordon,M. Carter-Williams,T. Ross,1
W. Iwundu,J. Isaac,N. Vučević,M. Carter-Williams,T. Ross,2
W. Iwundu,J. Isaac,N. Vučević,D. Augustin,T. Ross,5
W. Iwundu,J. Isaac,N. Vučević,D. Augustin,A. Gordon,3
E. Fournier,J. Isaac,N. Vučević,D. Augustin,A. Gordon,0
A. Gordon,D. Augustin,E. Fournier,J. Isaac,N. Vučević,18
W. Iwundu,D. Augustin,E. Fournier,J. Isaac,N. Vučević,7
W. Iwundu,M. Carter-Williams,T. Ross,J. Isaac,N. Vučević,2
W. Iwundu,M. Carter-Williams,T. Ross,K. Birch,A. Gordon,7
W. Iwundu,M. Carter-Williams,T. Ross,K. Birch,A. Gordon,0
W. Iwundu,M. Carter-Williams,T. Ross,K. Birch,A. Gordon,0
K. Birch,M. Carter-Williams,A. Gordon,E. Fournier,T. Ross,8
K. Birch,M. Carter-Williams,A. Gordon,E. Fournier,T. Ross,4
N. Vučević,M. Carter-Williams,A. Gordon,E. Fournier,T. Ross,2
N. Vučević,D. Augustin,A. Gordon,E. Fournier,T. Ross,3
N. Vučević,D. Augustin,A. Gordon,E. Fournier,T. Ross,4
N. Vučević,D. Augustin,J. Martin,E. Fournier,T. Ross,0
A. Jefferson,T. Caupain,J. Martin,J. Grant,W. Iwundu,9
