J. Layman,M. Harkless,J. Nurkić,A. Aminu,D. Lillard,16,346
J. Layman,M. Harkless,J. Nurkić,A. Aminu,D. Lillard,3,62
R. Hood,M. Harkless,J. Nurkić,A. Aminu,D. Lillard,1,49
R. Hood,M. Harkless,J. Nurkić,A. Aminu,D. Lillard,2,37
R. Hood,S. Curry,E. Freedom,A. Aminu,D. Lillard,5,104
R. Hood,S. Curry,E. Freedom,Z. Collins,D. Lillard,4,122
Z. Collins,E. Freedom,E. Turner,R. Hood,S. Curry,6,191
Z. Collins,E. Freedom,E. Turner,R. Hood,S. Curry,8,151
Z. Collins,E. Freedom,E. Turner,R. Hood,S. Curry,6,106
M. Harkless,D. Lillard,J. Nurkić,R. Hood,S. Curry,6,159
M. Harkless,D. Lillard,J. Nurkić,A. Aminu,S. Curry,2,47
M. Harkless,D. Lillard,J. Nurkić,A. Aminu,S. Curry,3,62
M. Harkless,D. Lillard,J. Nurkić,A. Aminu,S. Curry,0,4
J. Layman,J. Nurkić,A. Aminu,M. Harkless,D. Lillard,10,295
J. Layman,J. Nurkić,A. Aminu,M. Harkless,D. Lillard,5,93
R. Hood,E. Freedom,A. Aminu,M. Harkless,D. Lillard,5,58
R. Hood,E. Freedom,A. Aminu,M. Harkless,D. Lillard,5,123
R. Hood,E. Freedom,Z. Collins,S. Curry,D. Lillard,8,151
Z. Collins,E. Freedom,E. Turner,R. Hood,S. Curry,3,172
D. Lillard,E. Freedom,E. Turner,R. Hood,S. Curry,4,115
D. Lillard,M. Harkless,J. Nurkić,R. Hood,S. Curry,3,159
D. Lillard,M. Harkless,J. Nurkić,R. Hood,S. Curry,0,23
D. Lillard,M. Harkless,J. Nurkić,R. Hood,S. Curry,15,248
D. Lillard,M. Harkless,J. Nurkić,R. Hood,S. Curry,28,3
