P. George,T. Ferguson,S. Adams,R. Westbrook,J. Grant,17,364
D. Schröder,T. Ferguson,S. Adams,R. Westbrook,J. Grant,0,93
D. Schröder,T. Ferguson,S. Adams,R. Westbrook,J. Grant,1,29
D. Schröder,T. Ferguson,S. Adams,R. Westbrook,J. Grant,3,26
D. Schröder,A. Nader,S. Adams,R. Westbrook,J. Grant,0,70
D. Schröder,A. Nader,P. George,N. Noel,J. Grant,0,15
D. Schröder,A. Nader,P. George,N. Noel,J. Grant,6,77
D. Schröder,A. Nader,P. George,N. Noel,M. Morris,2,46
P. George,A. Nader,N. Noel,M. Morris,D. Schröder,5,186
T. Ferguson,R. Westbrook,N. Noel,M. Morris,D. Schröder,2,49
T. Ferguson,R. Westbrook,S. Adams,M. Morris,D. Schröder,0,28
T. Ferguson,R. Westbrook,S. Adams,M. Morris,D. Schröder,0,52
T. Ferguson,R. Westbrook,S. Adams,P. George,J. Grant,5,136
T. Ferguson,R. Westbrook,S. Adams,P. George,J. Grant,0,95
T. Ferguson,R. Westbrook,S. Adams,P. George,J. Grant,4,174
S. Adams,P. George,T. Ferguson,R. Westbrook,J. Grant,21,407
S. Adams,P. George,T. Ferguson,R. Westbrook,J. Grant,2,48
S. Adams,P. George,T. Ferguson,R. Westbrook,J. Grant,6,50
N. Noel,D. Schröder,T. Ferguson,R. Westbrook,J. Grant,0,43
N. Noel,D. Schröder,A. Nader,R. Westbrook,J. Grant,0,45
N. Noel,D. Schröder,A. Nader,P. George,J. Grant,2,68
N. Noel,D. Schröder,A. Nader,P. George,M. Morris,0,59
A. Nader,N. Noel,P. George,D. Schröder,T. Ferguson,6,206
S. Adams,R. Westbrook,P. George,D. Schröder,T. Ferguson,4,52
S. Adams,R. Westbrook,J. Grant,D. Schröder,T. Ferguson,2,8
S. Adams,R. Westbrook,J. Grant,D. Schröder,T. Ferguson,4,102
S. Adams,R. Westbrook,J. Grant,P. George,T. Ferguson,0,105
S. Adams,R. Westbrook,J. Grant,P. George,T. Ferguson,15,226
S. Adams,R. Westbrook,J. Grant,P. George,T. Ferguson,0,21
