K. Williams,I. Clark,J. Okafor,E. Payton,J. Randle,10
D. Miller,I. Clark,J. Okafor,E. Payton,J. Randle,10
D. Miller,C. Diallo,S. Johnson,K. Williams,J. Randle,3
D. Miller,C. Diallo,S. Johnson,K. Williams,J. Randle,1
D. Miller,C. Diallo,S. Johnson,K. Williams,C. Wood,4
D. Miller,C. Diallo,S. Johnson,K. Williams,C. Wood,0
C. Diallo,S. Johnson,D. Miller,C. Wood,K. Williams,10
C. Diallo,S. Johnson,D. Miller,C. Wood,K. Williams,3
I. Clark,J. Okafor,E. Payton,C. Wood,K. Williams,4
I. Clark,J. Okafor,E. Payton,C. Wood,K. Williams,1
I. Clark,J. Okafor,E. Payton,C. Wood,K. Williams,0
I. Clark,J. Okafor,E. Payton,J. Randle,K. Williams,5
I. Clark,J. Okafor,E. Payton,J. Randle,D. Miller,8
I. Clark,C. Wood,E. Payton,J. Randle,D. Miller,3
I. Clark,C. Wood,E. Payton,J. Randle,K. Williams,0
E. Payton,J. Okafor,I. Clark,J. Randle,K. Williams,11
S. Johnson,J. Okafor,I. Clark,J. Randle,K. Williams,2
S. Johnson,C. Wood,I. Clark,J. Randle,K. Williams,7
S. Johnson,C. Wood,D. Bertāns,C. Diallo,E. Payton,5
S. Johnson,C. Wood,D. Bertāns,C. Diallo,E. Payton,0
S. Johnson,C. Wood,D. Bertāns,J. Okafor,E. Payton,0
S. Johnson,C. Wood,D. Bertāns,C. Diallo,E. Payton,0
D. Bertāns,C. Diallo,S. Johnson,E. Payton,C. Wood,8
D. Bertāns,C. Diallo,S. Johnson,E. Payton,C. Wood,6
I. Clark,J. Randle,K. Williams,E. Payton,C. Wood,5
I. Clark,J. Randle,K. Williams,E. Payton,C. Wood,15
