D. Cousins,K. Thompson,K. Durant,D. Green,S. Curry,11
K. Looney,K. Thompson,K. Durant,D. Green,S. Curry,10
K. Looney,A. Iguodala,K. Durant,D. Green,S. Curry,4
K. Looney,A. Iguodala,A. McKinnie,D. Green,S. Curry,2
K. Looney,A. Iguodala,A. McKinnie,D. Green,S. Curry,0
J. Jerebko,A. Iguodala,A. McKinnie,D. Green,S. Curry,0
A. Iguodala,D. Cousins,S. Livingston,K. Thompson,Q. Cook,16
K. Durant,D. Cousins,S. Livingston,K. Thompson,Q. Cook,6
K. Durant,D. Cousins,S. Livingston,K. Thompson,Q. Cook,3
K. Durant,A. Bogut,S. Curry,D. Green,Q. Cook,9
K. Durant,A. Bogut,S. Curry,D. Green,K. Thompson,5
K. Durant,A. Bogut,S. Curry,D. Green,K. Thompson,0
A. Bogut,S. Curry,K. Durant,D. Green,K. Thompson,18
A. Bogut,S. Curry,K. Durant,D. Green,K. Thompson,3
K. Looney,S. Curry,K. Durant,D. Green,K. Thompson,8
K. Looney,S. Curry,K. Durant,D. Green,K. Thompson,9
K. Looney,Q. Cook,A. McKinnie,D. Green,K. Thompson,0
K. Looney,Q. Cook,A. McKinnie,J. Jerebko,S. Livingston,0
S. Livingston,J. Jerebko,J. Bell,Q. Cook,A. McKinnie,1
S. Livingston,J. Jerebko,J. Bell,Q. Cook,A. McKinnie,3
S. Livingston,J. Jerebko,J. Bell,Q. Cook,A. McKinnie,5
K. Looney,J. Jerebko,J. Bell,Q. Cook,A. McKinnie,24
