E. Bledsoe,G. Antetokounmpo,K. Middleton,S. Brown,B. Lopez,13,156
G. Hill,G. Antetokounmpo,K. Middleton,S. Brown,B. Lopez,1,75
G. Hill,P. Connaughton,K. Middleton,S. Brown,B. Lopez,2,118
G. Hill,P. Connaughton,G. Antetokounmpo,S. Brown,B. Lopez,6,129
G. Hill,P. Connaughton,G. Antetokounmpo,E. İlyasova,D. Wilson,0,65
G. Hill,P. Connaughton,G. Antetokounmpo,E. İlyasova,D. Wilson,3,33
K. Middleton,P. Connaughton,T. Frazier,E. İlyasova,D. Wilson,5,144
P. Connaughton,T. Frazier,E. İlyasova,K. Middleton,G. Antetokounmpo,0,5
P. Connaughton,T. Frazier,E. İlyasova,K. Middleton,G. Antetokounmpo,4,158
S. Brown,G. Hill,B. Lopez,D. Wilson,G. Antetokounmpo,2,80
S. Brown,G. Hill,B. Lopez,D. Wilson,P. Connaughton,4,165
S. Brown,G. Hill,B. Lopez,G. Antetokounmpo,P. Connaughton,6,99
S. Brown,E. İlyasova,B. Lopez,G. Antetokounmpo,P. Connaughton,1,51
G. Hill,E. İlyasova,B. Lopez,G. Antetokounmpo,P. Connaughton,3,62
G. Hill,E. İlyasova,D. Wilson,G. Antetokounmpo,P. Connaughton,1,11
G. Hill,E. İlyasova,D. Wilson,S. Brown,P. Connaughton,5,89
G. Antetokounmpo,K. Middleton,G. Hill,S. Brown,B. Lopez,9,273
P. Connaughton,K. Middleton,G. Hill,S. Brown,B. Lopez,2,53
P. Connaughton,G. Antetokounmpo,G. Hill,S. Brown,B. Lopez,1,21
P. Connaughton,G. Antetokounmpo,T. Frazier,S. Brown,B. Lopez,1,116
P. Connaughton,G. Antetokounmpo,T. Frazier,E. İlyasova,D. Wilson,4,55
P. Connaughton,G. Antetokounmpo,T. Frazier,E. İlyasova,D. Wilson,1,13
P. Connaughton,G. Antetokounmpo,T. Frazier,E. İlyasova,D. Wilson,5,101
P. Connaughton,K. Middleton,T. Frazier,E. İlyasova,D. Wilson,3,88
D. Wilson,E. İlyasova,K. Middleton,G. Hill,S. Brown,9,135
G. Antetokounmpo,E. İlyasova,K. Middleton,G. Hill,S. Brown,7,102
G. Antetokounmpo,P. Connaughton,B. Lopez,G. Hill,S. Brown,5,96
G. Antetokounmpo,P. Connaughton,B. Lopez,G. Hill,S. Brown,6,85
G. Antetokounmpo,P. Connaughton,B. Lopez,G. Hill,S. Brown,2,69
G. Antetokounmpo,E. İlyasova,B. Lopez,K. Middleton,S. Brown,1,41
G. Antetokounmpo,P. Connaughton,B. Lopez,K. Middleton,G. Hill,1,46
G. Antetokounmpo,S. Brown,B. Lopez,K. Middleton,G. Hill,14,135
G. Antetokounmpo,S. Brown,B. Lopez,P. Connaughton,G. Hill,1,11
