I. Humphries,T. Prince,J. Adams,K. Huerter,A. Len,7,277
J. Anderson,V. Carter,J. Adams,K. Huerter,A. Len,0,47
J. Anderson,V. Carter,J. Adams,K. Huerter,A. Len,3,86
J. Anderson,V. Carter,K. Bazemore,D. Bembry,D. Davis,11,215
J. Anderson,V. Carter,K. Bazemore,D. Bembry,D. Davis,0,85
J. Anderson,V. Carter,K. Bazemore,D. Bembry,D. Davis,0,10
K. Bazemore,D. Bembry,D. Davis,I. Humphries,T. Prince,6,176
J. Adams,K. Huerter,D. Davis,I. Humphries,T. Prince,0,57
J. Adams,K. Huerter,A. Len,I. Humphries,T. Prince,0,43
J. Adams,K. Huerter,A. Len,I. Humphries,T. Prince,6,106
J. Adams,K. Huerter,A. Len,J. Anderson,V. Carter,3,133
J. Adams,K. Huerter,A. Len,J. Anderson,V. Carter,5,86
J. Adams,K. Huerter,A. Len,J. Anderson,V. Carter,0,56
J. Adams,K. Huerter,A. Len,J. Anderson,V. Carter,4,63
T. Prince,K. Huerter,A. Len,J. Adams,I. Humphries,8,238
K. Bazemore,K. Huerter,A. Len,J. Adams,I. Humphries,3,56
K. Bazemore,D. Bembry,A. Len,J. Adams,I. Humphries,5,41
K. Bazemore,D. Bembry,D. Davis,J. Adams,I. Humphries,0,36
K. Bazemore,D. Bembry,D. Davis,J. Anderson,V. Carter,0,35
K. Bazemore,D. Bembry,D. Davis,J. Anderson,V. Carter,10,180
K. Bazemore,D. Bembry,A. Len,J. Anderson,V. Carter,1,58
K. Bazemore,D. Bembry,A. Len,J. Anderson,V. Carter,0,76
J. Adams,K. Huerter,A. Len,T. Prince,V. Carter,7,125
J. Adams,K. Huerter,A. Len,T. Prince,V. Carter,0,43
J. Adams,K. Huerter,A. Len,T. Prince,V. Carter,3,26
K. Bazemore,K. Huerter,A. Len,T. Prince,V. Carter,3,44
K. Bazemore,D. Bembry,A. Len,T. Prince,V. Carter,2,84
K. Bazemore,D. Bembry,A. Len,T. Prince,V. Carter,3,89
K. Bazemore,D. Bembry,A. Len,T. Prince,V. Carter,6,95
K. Bazemore,D. Bembry,A. Len,T. Prince,V. Carter,4,139
K. Bazemore,D. Bembry,J. Adams,T. Prince,V. Carter,3,29
K. Bazemore,D. Bembry,A. Len,T. Prince,V. Carter,2,17
K. Bazemore,D. Bembry,J. Adams,T. Prince,V. Carter,0,8
K. Bazemore,D. Bembry,A. Len,T. Prince,V. Carter,2,21
