I. Humphries,T. Prince,J. Adams,K. Huerter,A. Len,7
J. Anderson,V. Carter,J. Adams,K. Huerter,A. Len,0
J. Anderson,V. Carter,J. Adams,K. Huerter,A. Len,3
J. Anderson,V. Carter,K. Bazemore,D. Bembry,D. Davis,11
J. Anderson,V. Carter,K. Bazemore,D. Bembry,D. Davis,0
J. Anderson,V. Carter,K. Bazemore,D. Bembry,D. Davis,0
K. Bazemore,D. Bembry,D. Davis,I. Humphries,T. Prince,6
J. Adams,K. Huerter,D. Davis,I. Humphries,T. Prince,0
J. Adams,K. Huerter,A. Len,I. Humphries,T. Prince,0
J. Adams,K. Huerter,A. Len,I. Humphries,T. Prince,6
J. Adams,K. Huerter,A. Len,J. Anderson,V. Carter,3
J. Adams,K. Huerter,A. Len,J. Anderson,V. Carter,5
J. Adams,K. Huerter,A. Len,J. Anderson,V. Carter,0
J. Adams,K. Huerter,A. Len,J. Anderson,V. Carter,0
T. Prince,K. Huerter,A. Len,J. Adams,I. Humphries,12
K. Bazemore,K. Huerter,A. Len,J. Adams,I. Humphries,3
K. Bazemore,D. Bembry,A. Len,J. Adams,I. Humphries,5
K. Bazemore,D. Bembry,D. Davis,J. Adams,I. Humphries,0
K. Bazemore,D. Bembry,D. Davis,J. Anderson,V. Carter,0
K. Bazemore,D. Bembry,D. Davis,J. Anderson,V. Carter,10
K. Bazemore,D. Bembry,A. Len,J. Anderson,V. Carter,1
K. Bazemore,D. Bembry,A. Len,J. Anderson,V. Carter,0
J. Adams,K. Huerter,A. Len,T. Prince,V. Carter,7
J. Adams,K. Huerter,A. Len,T. Prince,V. Carter,0
J. Adams,K. Huerter,A. Len,T. Prince,V. Carter,3
K. Bazemore,K. Huerter,A. Len,T. Prince,V. Carter,3
K. Bazemore,D. Bembry,A. Len,T. Prince,V. Carter,2
K. Bazemore,D. Bembry,A. Len,T. Prince,V. Carter,3
K. Bazemore,D. Bembry,A. Len,T. Prince,V. Carter,6
K. Bazemore,D. Bembry,A. Len,T. Prince,V. Carter,4
K. Bazemore,D. Bembry,J. Adams,T. Prince,V. Carter,3
K. Bazemore,D. Bembry,A. Len,T. Prince,V. Carter,2
K. Bazemore,D. Bembry,J. Adams,T. Prince,V. Carter,0
K. Bazemore,D. Bembry,A. Len,T. Prince,V. Carter,2
