T. Luwawu-Cabarrot,W. Selden,R. Arcidiacono,R. Lopez,S. Harrison,11
B. Sampson,J. Sampson,R. Arcidiacono,R. Lopez,S. Harrison,4
B. Sampson,J. Sampson,R. Arcidiacono,R. Lopez,S. Harrison,0
J. Sampson,R. Alkins,C. Felício,W. Lemon,B. Sampson,14
J. Sampson,R. Alkins,C. Felício,W. Lemon,B. Sampson,5
W. Selden,R. Alkins,C. Felício,W. Lemon,B. Sampson,5
W. Selden,R. Arcidiacono,R. Lopez,T. Luwawu-Cabarrot,J. Sampson,10
S. Harrison,R. Arcidiacono,R. Lopez,T. Luwawu-Cabarrot,J. Sampson,1
S. Harrison,W. Selden,R. Lopez,T. Luwawu-Cabarrot,J. Sampson,0
R. Arcidiacono,T. Luwawu-Cabarrot,S. Harrison,J. Sampson,R. Lopez,9
W. Lemon,B. Sampson,S. Harrison,J. Sampson,R. Lopez,2
W. Lemon,B. Sampson,W. Selden,J. Sampson,R. Lopez,2
W. Lemon,B. Sampson,W. Selden,R. Alkins,R. Lopez,0
R. Alkins,W. Lemon,W. Selden,B. Sampson,C. Felício,8
R. Alkins,W. Lemon,W. Selden,B. Sampson,C. Felício,0
R. Arcidiacono,T. Luwawu-Cabarrot,W. Selden,B. Sampson,C. Felício,0
R. Arcidiacono,T. Luwawu-Cabarrot,J. Sampson,B. Sampson,C. Felício,4
R. Arcidiacono,T. Luwawu-Cabarrot,J. Sampson,S. Harrison,C. Felício,2
R. Arcidiacono,T. Luwawu-Cabarrot,J. Sampson,S. Harrison,C. Felício,2
R. Arcidiacono,R. Lopez,J. Sampson,S. Harrison,W. Lemon,7
