I. Rabb,D. Wright,B. Caboclo,J. Holiday,T. Dorsey,29,420
J. Carter,T. Zeller,B. Caboclo,J. Holiday,T. Dorsey,2,20
J. Carter,T. Zeller,Y. Watanabe,J. Holiday,T. Dorsey,3,51
J. Carter,T. Zeller,Y. Watanabe,J. Washburn,T. Dorsey,2,84
J. Carter,T. Zeller,Y. Watanabe,J. Washburn,T. Dorsey,4,49
J. Carter,T. Zeller,Y. Watanabe,J. Washburn,D. Wright,5,96
Y. Watanabe,T. Zeller,J. Washburn,J. Carter,D. Wright,11,219
J. Holiday,I. Rabb,J. Washburn,J. Carter,D. Wright,2,64
J. Holiday,I. Rabb,B. Caboclo,J. Carter,D. Wright,5,49
J. Holiday,I. Rabb,B. Caboclo,J. Carter,D. Wright,3,62
J. Holiday,I. Rabb,B. Caboclo,T. Dorsey,D. Wright,5,76
J. Holiday,I. Rabb,B. Caboclo,T. Dorsey,D. Wright,4,151
J. Carter,I. Rabb,B. Caboclo,T. Dorsey,D. Wright,8,88
J. Carter,I. Rabb,B. Caboclo,T. Dorsey,D. Wright,3,11
I. Rabb,T. Dorsey,B. Caboclo,J. Holiday,D. Wright,16,348
T. Zeller,T. Dorsey,B. Caboclo,J. Holiday,D. Wright,0,39
T. Zeller,J. Carter,B. Caboclo,J. Holiday,D. Wright,3,63
T. Zeller,J. Carter,J. Washburn,J. Holiday,D. Wright,0,49
T. Zeller,J. Carter,J. Washburn,Y. Watanabe,D. Wright,2,76
T. Zeller,J. Carter,J. Washburn,Y. Watanabe,T. Dorsey,7,145
T. Dorsey,Y. Watanabe,T. Zeller,J. Carter,J. Washburn,5,231
J. Holiday,I. Rabb,D. Wright,B. Caboclo,J. Washburn,6,290
J. Carter,I. Rabb,D. Wright,B. Caboclo,Y. Watanabe,2,105
J. Carter,I. Rabb,J. Washburn,B. Caboclo,Y. Watanabe,5,94
