R. Kurucs,D. Carroll,D. Russell,J. Allen,J. Harris,7,266
R. Kurucs,D. Carroll,D. Russell,J. Allen,J. Harris,1,22
J. Dudley,D. Carroll,D. Russell,J. Allen,J. Harris,1,16
J. Dudley,S. Dinwiddie,D. Russell,J. Allen,J. Harris,3,35
J. Dudley,S. Dinwiddie,D. Russell,J. Allen,J. Harris,3,103
J. Dudley,S. Dinwiddie,C. LeVert,J. Allen,J. Harris,0,8
J. Dudley,S. Dinwiddie,C. LeVert,D. Carroll,E. Davis,4,112
J. Dudley,S. Dinwiddie,C. LeVert,D. Carroll,E. Davis,2,21
J. Dudley,S. Dinwiddie,C. LeVert,D. Carroll,E. Davis,10,137
S. Dinwiddie,J. Dudley,C. LeVert,D. Carroll,E. Davis,6,113
D. Russell,J. Dudley,C. LeVert,D. Carroll,E. Davis,4,92
D. Russell,T. Graham,C. LeVert,D. Carroll,E. Davis,3,25
D. Russell,T. Graham,C. LeVert,D. Carroll,E. Davis,2,55
D. Russell,T. Graham,J. Harris,D. Carroll,E. Davis,1,38
D. Russell,T. Graham,J. Harris,S. Dinwiddie,J. Dudley,5,202
C. LeVert,R. Kurucs,J. Harris,S. Dinwiddie,J. Dudley,5,66
C. LeVert,R. Kurucs,J. Harris,S. Dinwiddie,J. Dudley,4,52
C. LeVert,D. Carroll,J. Harris,S. Dinwiddie,J. Dudley,1,56
C. LeVert,D. Carroll,J. Harris,S. Dinwiddie,J. Dudley,0,21
J. Allen,D. Carroll,R. Kurucs,J. Harris,D. Russell,3,111
J. Allen,D. Carroll,R. Kurucs,J. Harris,D. Russell,0,18
E. Davis,D. Carroll,R. Kurucs,J. Harris,D. Russell,6,143
E. Davis,D. Carroll,R. Kurucs,J. Harris,D. Russell,2,77
E. Davis,S. Dinwiddie,J. Dudley,J. Harris,D. Russell,9,156
E. Davis,S. Dinwiddie,J. Dudley,D. Carroll,C. LeVert,4,78
E. Davis,S. Dinwiddie,J. Dudley,D. Carroll,C. LeVert,3,30
T. Graham,S. Dinwiddie,J. Dudley,D. Carroll,C. LeVert,4,107
J. Dudley,D. Carroll,S. Dinwiddie,T. Graham,C. LeVert,2,123
E. Davis,D. Carroll,S. Dinwiddie,T. Graham,C. LeVert,0,43
E. Davis,D. Carroll,S. Dinwiddie,T. Graham,C. LeVert,5,34
E. Davis,D. Carroll,S. Dinwiddie,T. Graham,C. LeVert,2,127
E. Davis,J. Harris,D. Russell,T. Graham,C. LeVert,2,13
E. Davis,J. Harris,D. Russell,T. Graham,C. LeVert,0,69
E. Davis,J. Harris,D. Russell,S. Dinwiddie,J. Dudley,5,144
D. Carroll,J. Harris,D. Russell,S. Dinwiddie,T. Graham,2,109
D. Carroll,J. Harris,D. Russell,S. Dinwiddie,T. Graham,0,58
