M. Harkless,E. Freedom,A. Aminu,C. McCollum,D. Lillard,14,469
R. Hood,M. Leonard,A. Aminu,C. McCollum,D. Lillard,4,56
R. Hood,M. Leonard,A. Aminu,C. McCollum,D. Lillard,1,8
R. Hood,M. Leonard,Z. Collins,C. McCollum,D. Lillard,4,63
R. Hood,M. Leonard,Z. Collins,E. Turner,D. Lillard,3,124
R. Hood,M. Leonard,E. Turner,Z. Collins,S. Curry,2,167
C. McCollum,M. Leonard,E. Turner,Z. Collins,S. Curry,0,45
C. McCollum,M. Harkless,D. Lillard,Z. Collins,S. Curry,2,40
C. McCollum,M. Harkless,D. Lillard,Z. Collins,S. Curry,2,96
C. McCollum,M. Harkless,D. Lillard,Z. Collins,S. Curry,0,43
C. McCollum,M. Harkless,D. Lillard,E. Freedom,S. Curry,7,180
C. McCollum,M. Harkless,D. Lillard,E. Freedom,A. Aminu,5,88
C. McCollum,M. Harkless,D. Lillard,E. Freedom,A. Aminu,6,61
A. Aminu,M. Harkless,E. Freedom,C. McCollum,D. Lillard,24,472
R. Hood,M. Harkless,E. Freedom,C. McCollum,D. Lillard,5,163
R. Hood,A. Aminu,E. Freedom,C. McCollum,D. Lillard,0,40
R. Hood,A. Aminu,Z. Collins,S. Curry,D. Lillard,0,16
R. Hood,A. Aminu,M. Leonard,S. Curry,D. Lillard,0,29
S. Curry,A. Aminu,Z. Collins,R. Hood,C. McCollum,5,140
S. Curry,A. Aminu,Z. Collins,R. Hood,C. McCollum,3,22
D. Lillard,A. Aminu,Z. Collins,R. Hood,C. McCollum,3,56
D. Lillard,A. Aminu,Z. Collins,R. Hood,C. McCollum,2,92
D. Lillard,M. Harkless,E. Freedom,R. Hood,C. McCollum,2,105
D. Lillard,M. Harkless,E. Freedom,A. Aminu,C. McCollum,11,259
D. Lillard,S. Curry,E. Freedom,A. Aminu,C. McCollum,1,3
D. Lillard,M. Harkless,E. Freedom,A. Aminu,C. McCollum,2,5
J. Layman,M. Harkless,E. Freedom,S. Curry,A. Simons,1,6
J. Layman,M. Harkless,Z. Collins,S. Curry,A. Simons,2,32
