J. Embiid,J. Redick,J. Butler,T. Harris,B. Simmons,16
J. Ennis,G. Monroe,J. Butler,T. Harris,B. Simmons,6
J. Ennis,G. Monroe,M. Scott,T. Harris,B. Simmons,4
J. Butler,J. Redick,M. Scott,J. Embiid,B. Simmons,1
J. Butler,J. Redick,M. Scott,J. Embiid,J. Ennis,0
J. Ennis,J. Butler,J. Embiid,J. Redick,T. Harris,11
B. Simmons,J. Butler,J. Embiid,J. Redick,T. Harris,7
B. Simmons,J. Ennis,G. Monroe,J. Redick,T. Harris,0
B. Simmons,J. Ennis,G. Monroe,J. Redick,T. Harris,0
B. Simmons,J. Ennis,G. Monroe,J. Redick,T. Harris,1
B. Simmons,J. Ennis,G. Monroe,J. Butler,T. Harris,4
B. Simmons,M. Scott,G. Monroe,J. Butler,T. Harris,2
B. Simmons,M. Scott,J. Redick,J. Embiid,T. Harris,0
B. Simmons,J. Butler,J. Redick,J. Embiid,T. Harris,11
B. Simmons,J. Butler,J. Redick,J. Embiid,M. Scott,1
B. Simmons,J. Butler,J. Redick,J. Embiid,T. Harris,0
J. Redick,J. Embiid,T. Harris,J. Butler,B. Simmons,7
J. Ennis,J. Embiid,T. Harris,J. Butler,B. Simmons,2
J. Redick,J. Embiid,T. Harris,J. Butler,B. Simmons,2
G. Monroe,J. Ennis,T. Harris,J. Butler,B. Simmons,4
G. Monroe,J. Ennis,M. Scott,J. Butler,B. Simmons,4
J. Redick,T. Harris,M. Scott,J. Embiid,B. Simmons,6
J. Redick,T. Harris,M. Scott,J. Embiid,B. Simmons,0
J. Embiid,J. Redick,T. Harris,J. Butler,J. Ennis,9
J. Embiid,J. Redick,T. Harris,J. Butler,J. Ennis,2
G. Monroe,B. Simmons,T. Harris,J. Butler,J. Ennis,2
M. Scott,B. Simmons,J. Embiid,J. Butler,J. Ennis,8
M. Scott,J. Simmons,T. McConnell,J. Bolden,J. Ennis,0
M. Scott,J. Simmons,T. McConnell,J. Bolden,J. Ennis,0
A. Johnson,J. Simmons,T. McConnell,J. Bolden,J. Ennis,2
A. Johnson,J. Simmons,T. McConnell,J. Bolden,B. Marjanović,2
A. Johnson,J. Simmons,T. McConnell,J. Bolden,B. Marjanović,2
