D. Green,M. Gasol,K. Leonard,P. Siakam,K. Lowry,14,348
D. Green,M. Gasol,K. Leonard,P. Siakam,K. Lowry,4,139
F. VanVleet,M. Gasol,K. Leonard,P. Siakam,K. Lowry,4,48
F. VanVleet,S. Ibaka,K. Leonard,P. Siakam,K. Lowry,0,63
F. VanVleet,S. Ibaka,N. Powell,P. Siakam,K. Lowry,3,119
F. VanVleet,S. Ibaka,N. Powell,P. Siakam,K. Lowry,0,3
P. Siakam,N. Powell,D. Green,S. Ibaka,F. VanVleet,2,53
K. Leonard,N. Powell,D. Green,S. Ibaka,F. VanVleet,4,100
K. Leonard,P. McCaw,D. Green,S. Ibaka,F. VanVleet,5,107
K. Leonard,P. McCaw,D. Green,S. Ibaka,F. VanVleet,0,12
K. Leonard,P. McCaw,M. Gasol,K. Lowry,F. VanVleet,3,82
K. Leonard,P. Siakam,M. Gasol,K. Lowry,F. VanVleet,14,298
D. Green,P. Siakam,M. Gasol,K. Lowry,F. VanVleet,1,9
D. Green,K. Leonard,M. Gasol,K. Lowry,F. VanVleet,5,59
M. Gasol,D. Green,P. Siakam,K. Lowry,K. Leonard,11,289
M. Gasol,D. Green,P. Siakam,K. Lowry,K. Leonard,7,118
S. Ibaka,F. VanVleet,P. Siakam,K. Lowry,K. Leonard,2,71
S. Ibaka,F. VanVleet,P. Siakam,K. Lowry,K. Leonard,3,105
S. Ibaka,F. VanVleet,D. Green,K. Lowry,K. Leonard,0,39
S. Ibaka,F. VanVleet,D. Green,P. McCaw,K. Leonard,6,98
P. McCaw,K. Lowry,S. Ibaka,P. Siakam,F. VanVleet,4,111
K. Leonard,K. Lowry,S. Ibaka,P. Siakam,F. VanVleet,2,25
K. Leonard,K. Lowry,S. Ibaka,P. Siakam,F. VanVleet,2,65
K. Leonard,K. Lowry,S. Ibaka,P. Siakam,F. VanVleet,0,14
K. Leonard,K. Lowry,S. Ibaka,P. Siakam,F. VanVleet,1,14
K. Leonard,D. Green,S. Ibaka,P. Siakam,F. VanVleet,0,18
K. Leonard,D. Green,M. Gasol,P. Siakam,F. VanVleet,3,22
K. Leonard,D. Green,M. Gasol,P. Siakam,F. VanVleet,10,296
K. Leonard,K. Lowry,M. Gasol,P. Siakam,F. VanVleet,2,76
K. Leonard,K. Lowry,M. Gasol,P. Siakam,F. VanVleet,1,5
K. Leonard,K. Lowry,D. Green,P. Siakam,F. VanVleet,5,74
